Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x12_Counter_Clockwise","ch32v003weact_SolderPad_15.24mm",166.399082,-118.091343,180.000000,bottom
"R1","R","R_0805_2012Metric",180.331000,-83.866000,-90.000000,bottom
"R2","R","R_0805_2012Metric",154.931000,-87.676000,-90.000000,bottom
"R3","R","R_0805_2012Metric",149.851000,-92.398500,-90.000000,bottom
"R4","R","R_0805_2012Metric",176.521000,-92.756000,90.000000,bottom
"R5","R","R_0805_2012Metric",180.331000,-107.361000,-90.000000,bottom
"R6","R","R_0805_2012Metric",176.521000,-107.361000,-90.000000,bottom
"R7","R","R_0805_2012Metric",150.486000,-107.996000,90.000000,bottom
"R8","R","R_0805_2012Metric",154.931000,-114.346000,-90.000000,bottom
"e1","Conn_01x02","PinSocket_2x01_P2.54mm_Vertical",180.677000,-115.835000,-90.000000,bottom
